Date,Close
2021-03-15,2.4205944538116455
2021-03-16,2.4159305095672607
2021-03-17,2.4019381999969482
2021-03-18,2.3926100730895996
2021-03-19,2.4019381999969482
2021-03-22,2.4345858097076416
2021-03-23,2.4159305095672607
2021-03-24,2.4345858097076416
2021-03-25,2.4392497539520264
2021-03-26,2.425258159637451
2021-03-29,2.4579057693481445
2021-03-30,2.490553617477417
2021-03-31,2.4812259674072266
2021-04-01,2.51387357711792
2021-04-05,2.565176486968994
2021-04-06,2.555849075317383
2021-04-07,2.555849075317383
2021-04-08,2.546520948410034
2021-04-09,2.565176486968994
2021-04-12,2.5371932983398438
2021-04-13,2.565176486968994
2021-04-14,2.5418567657470703
2021-04-15,2.532529354095459
2021-04-16,2.532529354095459
2021-04-19,2.574504852294922
2021-04-20,2.5418567657470703
2021-04-21,2.4765615463256836
2021-04-22,2.485889434814453
2021-04-23,2.5418567657470703
2021-04-26,2.5884969234466553
2021-04-27,2.574504852294922
2021-04-28,2.565176486968994
2021-04-29,2.6176419258117676
2021-04-30,2.5795674324035645
2021-05-03,2.5319740772247314
2021-05-04,2.5367329120635986
2021-05-05,2.4986584186553955
2021-05-06,2.5224552154541016
2021-05-07,2.551011562347412
2021-05-10,2.527214527130127
2021-05-11,2.527214527130127
2021-05-12,2.503417730331421
2021-05-14,2.432027816772461
2021-05-17,2.4510648250579834
2021-05-18,2.541492462158203
2021-05-19,2.470102548599243
2021-05-20,2.4748618602752686
2021-05-21,2.4653429985046387
2021-05-24,2.493898868560791
2021-05-25,2.4986584186553955
2021-05-27,2.5319740772247314
2021-05-28,2.551011562347412
2021-05-31,2.5367329120635986
2021-06-01,2.560529947280884
2021-06-02,2.541492462158203
2021-06-03,2.5557706356048584
2021-06-04,2.5319740772247314
2021-06-07,2.5462522506713867
2021-06-08,2.517695903778076
2021-06-09,2.479620933532715
2021-06-10,2.484380006790161
2021-06-11,2.4653429985046387
2021-06-14,2.4653429985046387
2021-06-15,2.493898868560791
2021-06-16,2.4415462017059326
2021-06-17,2.4272685050964355
2021-06-18,2.446305513381958
2021-06-21,2.408231019973755
2021-06-22,2.403470993041992
2021-06-23,2.432027816772461
2021-06-24,2.432027816772461
2021-06-25,2.5700488090515137
2021-06-28,2.665235757827759
2021-06-29,2.58432674407959
2021-06-30,2.6033639907836914
2021-07-01,2.57480788230896
2021-07-02,2.57480788230896
2021-07-05,2.5557706356048584
2021-07-06,2.5795674324035645
2021-07-07,2.508176803588867
2021-07-08,2.479620933532715
2021-07-09,2.493898868560791
2021-07-12,2.4891393184661865
2021-07-13,2.4891393184661865
2021-07-14,2.493898868560791
2021-07-15,2.493898868560791
2021-07-16,2.484380006790161
2021-07-19,2.4653429985046387
2021-07-21,2.4748618602752686
2021-07-22,2.5462522506713867
2021-07-23,2.5224552154541016
2021-07-26,2.4986584186553955
2021-07-27,2.4986584186553955
2021-07-28,2.5129363536834717
2021-07-29,2.5652894973754883
2021-07-30,2.6128828525543213
2021-08-02,2.6128828525543213
2021-08-03,2.5938451290130615
2021-08-04,2.655717134475708
2021-08-05,2.641439199447632
